Graphene sheet in zig-zag direction

8948 atoms 

1 atom types 

#simulation box 
-1.302486 149.278486 xlo xhi
-0.698000 151.819000 ylo yhi
-100.000000 100.000000 zlo zhi

Masses

1 12.000000 

Atoms

242 1 99.819219 3.630268 0.001757 
243 1 101.910089 2.426992 0.006754 
244 1 102.610685 3.636031 0.001040 
245 1 104.707455 2.425303 0.005619 
246 1 104.003842 3.632882 0.002999 
247 1 106.097341 2.420066 0.008949 
248 1 106.794715 3.629335 0.000538 
249 1 108.892417 2.418073 0.008972 
250 1 108.191967 3.627844 0.003074 
251 1 110.288561 2.418957 0.009954 
252 1 110.985321 3.629883 0.000620 
253 1 113.078982 2.418404 0.005054 
254 1 112.385614 3.633221 0.000899 
255 1 114.472809 2.425712 0.009051 
256 1 115.175338 3.628002 0.008258 
257 1 117.267381 2.420880 0.007463 
258 1 116.566103 3.627394 0.006679 
259 1 118.666035 2.423201 0.007297 
260 1 119.365073 3.634724 0.002880 
261 1 121.458925 2.423507 0.003965 
262 1 120.754616 3.634712 0.003376 
263 1 122.854079 2.425353 0.001048 
264 1 123.547279 3.632405 0.004852 
265 1 125.648905 2.425930 0.007343 
266 1 124.942513 3.627639 0.000885 
267 1 127.043984 2.427370 0.006837 
268 1 127.735321 3.634137 0.001104 
269 1 129.829175 2.424347 0.003288 
270 1 129.136538 3.634401 0.005832 
271 1 131.231400 2.420288 0.007350 
272 1 131.931706 3.635579 0.000862 
273 1 134.019664 2.421632 0.006850 
274 1 133.323979 3.634804 0.003677 
275 1 135.414060 2.418807 0.007719 
276 1 136.112057 3.630793 0.005518 
277 1 138.206290 2.424359 0.004845 
278 1 137.507518 3.634729 0.001006 
279 1 139.602941 2.420314 0.005309 
280 1 140.298915 3.630963 0.001048 
281 1 142.393123 2.425784 0.002916 
282 1 141.700035 3.636554 0.004325 
283 1 143.794948 2.425521 0.004326 
284 1 144.492555 3.628008 0.009338 
285 1 146.581875 2.420602 0.007978 
286 1 145.886876 3.634600 0.003960 
287 1 147.978729 2.418312 0.006733 
288 1 148.678296 3.631427 0.006099 
289 1 0.000594 4.839048 0.007727 
290 1 -0.691036 6.046113 0.001302 
291 1 1.396924 4.835968 0.004231 
292 1 2.100556 6.052089 0.005312 
293 1 4.189088 4.842208 0.001265 
294 1 3.491343 6.045846 0.001420 
295 1 5.585683 4.837852 0.003175 
296 1 6.285164 6.047036 0.002510 
297 1 8.384929 4.842922 0.005557 
298 1 7.679844 6.046980 0.000773 
299 1 9.781138 4.842957 0.005578 
300 1 10.473134 6.046522 0.006225 
301 1 12.573879 4.837594 0.002578 
302 1 11.869968 6.045600 0.006841 
303 1 13.964024 4.845718 0.004022 
304 1 14.664207 6.046404 0.003813 
305 1 16.753611 4.843471 0.008711 
306 1 16.057508 6.051715 0.002941 
307 1 18.153306 4.844214 0.005975 
308 1 18.849353 6.047852 0.004526 
309 1 20.944226 4.839486 0.005583 
310 1 20.249425 6.049103 0.004294 
311 1 22.337249 4.836134 0.002902 
312 1 23.037175 6.051397 0.009569 
313 1 25.137357 4.840469 0.002405 
314 1 24.437639 6.052453 0.007406 
315 1 26.531437 4.836949 0.006816 
316 1 27.226633 6.046982 0.000985 
317 1 29.324236 4.837640 0.001636 
318 1 28.624660 6.053804 0.005166 
319 1 30.719027 4.837426 0.009535 
320 1 31.415409 6.051657 0.000366 
321 1 33.512092 4.843376 0.001202 
322 1 32.811250 6.048118 0.005464 
323 1 34.903989 4.840041 0.001807 
324 1 35.600554 6.045065 0.009237 
325 1 37.698537 4.845216 0.001635 
326 1 37.003211 6.052807 0.005774 
327 1 39.092400 4.838466 0.007519 
328 1 39.788287 6.045502 0.007673 
329 1 41.886712 4.843042 0.006421 
330 1 41.186190 6.048768 0.008161 
331 1 43.279174 4.844035 0.007891 
332 1 43.982523 6.049916 0.006357 
333 1 46.077509 4.840330 0.000600 
334 1 45.378667 6.051172 0.003551 
335 1 47.473970 4.838132 0.006525 
336 1 48.168050 6.048732 0.001422 
337 1 50.256251 4.840101 0.001841 
338 1 49.565258 6.048564 0.008416 
339 1 51.659342 4.841600 0.001769 
340 1 52.359574 6.047513 0.009246 
341 1 54.446238 4.839626 0.000875 
342 1 53.752401 6.046666 0.000451 
343 1 55.847232 4.839364 0.006606 
344 1 56.541839 6.051133 0.000216 
345 1 58.641106 4.843896 0.007458 
346 1 57.942131 6.048693 0.006173 
347 1 60.033755 4.841191 0.002751 
348 1 60.728486 6.049376 0.002277 
349 1 62.828044 4.845751 0.000300 
350 1 62.127357 6.045731 0.008021 
351 1 64.225891 4.836559 0.009394 
352 1 64.914182 6.051698 0.007837 
353 1 67.013341 4.844744 0.008990 
354 1 66.316259 6.046239 0.002178 
355 1 68.405821 4.836308 0.001069 
356 1 69.108164 6.054257 0.003545 
357 1 71.200106 4.845733 0.009456 
358 1 70.504766 6.054743 0.007668 
359 1 72.595367 4.842514 0.002442 
360 1 73.292955 6.051662 0.005278 
361 1 75.388116 4.841916 0.007505 
362 1 74.691835 6.050378 0.005836 
363 1 76.785118 4.836716 0.007196 
364 1 77.487962 6.048405 0.009713 
365 1 79.575464 4.844755 0.004547 
366 1 78.878134 6.047037 0.001257 
367 1 80.971089 4.843151 0.007829 
368 1 81.672938 6.044958 0.008432 
369 1 83.769223 4.843600 0.000427 
370 1 83.065782 6.051903 0.007295 
371 1 85.158243 4.838581 0.006730 
372 1 85.858775 6.051097 0.002364 
373 1 87.949771 4.844186 0.007669 
374 1 87.259345 6.045939 0.001822 
375 1 89.344991 4.840788 0.001932 
376 1 90.050959 6.045851 0.000442 
377 1 92.141573 4.843615 0.003119 
378 1 91.439790 6.048250 0.002101 
379 1 93.537102 4.844954 0.006289 
380 1 94.231015 6.048769 0.000546 
381 1 96.329013 4.840207 0.009976 
382 1 95.634116 6.049717 0.008944 
383 1 97.721375 4.839790 0.009274 
384 1 98.427175 6.051996 0.006183 
385 1 100.515433 4.845250 0.001248 
386 1 99.821306 6.051325 0.008332 
387 1 101.911983 4.843388 0.008352 
388 1 102.609225 6.050383 0.009791 
389 1 104.705493 4.839194 0.006195 
390 1 104.005606 6.052425 0.004139 
391 1 106.100923 4.842837 0.009727 
392 1 106.797278 6.053238 0.007391 
393 1 108.897542 4.836209 0.003569 
394 1 108.196627 6.047675 0.002304 
395 1 110.291111 4.842136 0.005906 
396 1 110.988604 6.045336 0.003488 
397 1 113.080513 4.838299 0.007150 
398 1 112.386562 6.047675 0.007311 
399 1 114.473378 4.844257 0.001386 
400 1 115.175882 6.048522 0.008068 
401 1 117.269038 4.840786 0.008770 
402 1 116.569531 6.049354 0.009635 
403 1 118.660423 4.845620 0.001892 
404 1 119.364671 6.050724 0.006751 
405 1 121.455610 4.842093 0.008112 
406 1 120.754193 6.045699 0.009748 
407 1 122.854513 4.838202 0.004035 
408 1 123.547220 6.047544 0.002578 
409 1 125.643317 4.837412 0.003480 
410 1 124.943217 6.053702 0.000943 
411 1 127.045300 4.839880 0.000474 
412 1 127.737424 6.052220 0.007947 
413 1 129.833449 4.842752 0.008936 
414 1 129.130548 6.047897 0.000462 
415 1 131.225955 4.843092 0.007218 
416 1 131.930778 6.050684 0.000707 
417 1 134.025227 4.843894 0.002859 
418 1 133.323437 6.054708 0.007157 
419 1 135.420390 4.840223 0.004706 
420 1 136.115607 6.047551 0.007490 
421 1 138.209039 4.842358 0.003077 
422 1 137.507387 6.049616 0.003625 
423 1 139.607881 4.843693 0.006685 
424 1 140.299335 6.045076 0.005598 
425 1 142.395008 4.845284 0.009809 
426 1 141.696866 6.052868 0.008961 
427 1 143.793975 4.844730 0.009437 
428 1 144.491492 6.052144 0.005768 
429 1 146.580259 4.840355 0.006463 
430 1 145.887212 6.048583 0.009371 
431 1 147.984295 4.844381 0.003725 
432 1 148.679932 6.053586 0.009335 
433 1 0.006685 7.255898 0.006539 
434 1 -0.697279 8.466867 0.006669 
435 1 1.405337 7.261940 0.004845 
436 1 2.101567 8.466970 0.009718 
437 1 4.197880 7.262471 0.003889 
438 1 3.494547 8.465267 0.007844 
439 1 5.592828 7.262967 0.005583 
440 1 6.287989 8.464289 0.008997 
441 1 8.380504 7.255887 0.008997 
442 1 7.685626 8.471625 0.002850 
443 1 9.778732 7.260473 0.001228 
444 1 10.474073 8.465553 0.007167 
445 1 12.566834 7.262792 0.008266 
446 1 11.869900 8.467779 0.006948 
447 1 13.968344 7.259926 0.005747 
448 1 14.661260 8.467364 0.007138 
449 1 16.760844 7.261039 0.000186 
450 1 16.060748 8.467185 0.004378 
451 1 18.149170 7.261977 0.003249 
452 1 18.848462 8.466227 0.003757 
453 1 20.945466 7.259449 0.003958 
454 1 20.245981 8.467954 0.006575 
455 1 22.345509 7.261053 0.004001 
456 1 23.042319 8.464143 0.000605 
457 1 25.128842 7.255469 0.003242 
458 1 24.433017 8.462917 0.005399 
459 1 26.524954 7.255295 0.006311 
460 1 27.230593 8.472542 0.005708 
461 1 29.325969 7.259365 0.005155 
462 1 28.621307 8.467100 0.004918 
463 1 30.712710 7.262707 0.000646 
464 1 31.414362 8.471066 0.003945 
465 1 33.510135 7.262016 0.008862 
466 1 32.815311 8.464708 0.002586 
467 1 34.908979 7.259764 0.005038 
468 1 35.604128 8.470994 0.005319 
469 1 37.694021 7.258369 0.004279 
470 1 37.003661 8.469001 0.006954 
471 1 39.095202 7.257299 0.005170 
472 1 39.791567 8.464365 0.005621 
473 1 41.886948 7.258095 0.008363 
474 1 41.189314 8.466400 0.004542 
475 1 43.279864 7.261586 0.007343 
476 1 43.978303 8.469738 0.009452 
477 1 46.075842 7.260886 0.001093 
478 1 45.373899 8.468709 0.004594 
479 1 47.464503 7.256117 0.008342 
480 1 48.162156 8.471437 0.000781 
481 1 50.262690 7.258832 0.002180 
482 1 49.563716 8.464022 0.006712 
483 1 51.657996 7.254390 0.000563 
484 1 52.351525 8.462996 0.004352 
485 1 54.452322 7.260004 0.005201 
